region,demographic-type,demographic,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
00,Age of Business,Total,,,,,,,,,,,,,,,,,,,,
00,Age of Business,Ages 0 to 1,0.5051324630424904,0.5322687439302235,0.5393136881719345,0.5090353728313055,0.5075921345224648,0.5144781239003134,0.5130384828070687,0.5292985873845873,0.5560263620973208,0.5526489340369897,0.542830302006539,0.5362455643271362,0.5394572435259909,0.5364151293496252,0.5349086475163084,0.5354464245927992,0.5335534817488612,0.5376991783132619,0.5462162400276611,0.5347716614137265
00,Age of Business,Ages 2 to 3,0.5966756963561595,0.6026081171833289,0.6070604979195237,0.6150436681479193,0.6133539371096387,0.600407414288698,0.6086717014408702,0.6286302148332461,0.662943724326479,0.65399498110015,0.6475536422564776,0.6446773858459347,0.6369561823278957,0.6337942163373348,0.6258717802152883,0.6260529627811905,0.6276105804268763,0.6250268197663612,0.6334110114867103,0.6281949363668182
00,Age of Business,Ages 4 to 5,0.6078633229964056,0.6311511600984293,0.6419309269977552,0.6334197704821825,0.6244839239365579,0.6381426236209244,0.6378710762794966,0.6474498856828232,0.685222972556318,0.6837231415965764,0.6770402713524291,0.668037073920721,0.6659742682542911,0.6607038897791916,0.6554248318940584,0.6549232856574496,0.6528331849427872,0.651072954616331,0.6530659314604561,0.6420261181948592
00,Age of Business,Ages 6 to 10,0.6283252287571305,0.6405267289595581,0.6543597781974637,0.6550858751542817,0.6539957737611019,0.6554942146939553,0.6648519714047686,0.6830797592478713,0.7161543601002678,0.7073077165116157,0.7033730255798795,0.6981592220703646,0.6934654034790881,0.688735372869816,0.6817648426166304,0.6787707886221699,0.6788293148381633,0.6754738793844367,0.6771351432695678,0.671800712321784
00,Age of Business,Ages 11+,0.7240007901512993,0.7390588365358637,0.748463389644257,0.7430319447432854,0.7389956092346451,0.7367535097888657,0.7398508236710694,0.7569614015282792,0.7919763565529614,0.7881738818031142,0.7832956034184508,0.779437996554714,0.7740827038812859,0.7675199210848472,0.7616867533521023,0.7614659065444828,0.7595732211404367,0.7573143158701493,0.7593860465377735,0.7582581498723788
01,Age of Business,Total,,,,,,,,,,,,,,,,,,,,
01,Age of Business,Ages 0 to 1,,0.5292514262506439,0.5279139417956089,0.49796038209697235,0.4776691214938227,0.48635979099278426,0.4932854673580641,0.5124281239621523,0.5523706529927823,0.5281331078196329,0.532089810301673,0.5341080968011843,0.5372192269476976,0.542162421912542,0.5277587578514915,0.5182888829789345,0.5197549029488239,0.5162695161236012,0.5107205159747851,0.5302608432261147
01,Age of Business,Ages 2 to 3,,0.5978543337548893,0.6054100008949111,0.6000106534489139,0.5914883696834689,0.5941021732385436,0.5839089167149414,0.6127349871473257,0.6593963912463539,0.6372939279625387,0.6340911437717275,0.6195416743511771,0.627460042207208,0.6185324497456199,0.6049232048060756,0.6086355370534574,0.6034384918538347,0.6006281047922928,0.6075237657968222,0.6145194312724466
01,Age of Business,Ages 4 to 5,,0.6372196135534431,0.6511870483376326,0.6219403920476306,0.6134091716245124,0.6324834823867461,0.6421373017486783,0.6520483456852479,0.683641800013924,0.6938979172920741,0.664944658306056,0.6537194854196822,0.6424763006809382,0.6553470140650219,0.6367024889137469,0.6161571821050958,0.6233718388499103,0.6142000663517592,0.6283819721328214,0.6190505670843445
01,Age of Business,Ages 6 to 10,,0.6037522762407413,0.6293203591770157,0.6263282142274433,0.6289094484300952,0.6352198925110066,0.6489889132277947,0.6757231160496268,0.7304042672655812,0.7116258624141726,0.7060275072560822,0.7028788567180208,0.7060831938028282,0.6852763128262528,0.665276147601651,0.6585450551714627,0.6508354404858911,0.6403984480724233,0.6383107892041405,0.6354071890590942
01,Age of Business,Ages 11+,,0.7339393828403993,0.7415093745447808,0.7286461936447592,0.7159775987430644,0.720770064604759,0.7190911694542624,0.7432420299292138,0.7884178537440568,0.7778706258534749,0.7755102454462738,0.7747056902589565,0.7698903928732492,0.7641089618652177,0.7588775708194374,0.752971023086556,0.7467487735908718,0.7366741243856687,0.7341091009651213,0.7308203819574367
02,Age of Business,Total,,,,,,,,,,,,,,,,,,,,
02,Age of Business,Ages 0 to 1,0.35716413986504253,0.42527892200190115,0.44650486589128885,0.4313290113452188,0.4064631315836458,0.40363892649813604,0.4193995741938004,0.42555104772261493,0.4514022642927608,0.45743705479935115,0.46079115065528437,0.436913380072621,0.4200796217964668,0.4309765960053915,0.46284359487293475,,,,,
02,Age of Business,Ages 2 to 3,0.49557552476334205,0.468594805441918,0.471354680775457,0.5132643586682584,0.5413804572601987,0.5148869862439891,0.47525799948100683,0.508227252654417,0.5408223448624511,0.5282282282282282,0.5353450999864579,0.5411219592917426,0.5553406654860658,0.5160236465463597,0.5111274088311163,,,,,
02,Age of Business,Ages 4 to 5,0.4845741373950886,0.5433244916003537,0.5534625415110977,0.5100806065595742,0.5030645302512915,0.538206329980515,0.5492786906456204,0.5263070745539595,0.5399873771526463,0.5611448215875908,0.5525365227163268,0.5515964831096715,0.5580815488413025,0.5677790865070017,0.5720677966101695,,,,,
02,Age of Business,Ages 6 to 10,0.5184137769023655,0.536665731912507,0.5537339645012614,0.5576649180385878,0.5573103466418794,0.5651220608607103,0.5649067684078625,0.5733331070358709,0.5893499421786361,0.5827258379678341,0.5783536853202144,0.5872100750980261,0.5785084522197924,0.5749286242030083,0.5822711525711778,,,,,
