region,demographic-type,demographic,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
00,Age of Business,,0.0410450963369724,0.044259969812742814,0.04583823009328108,0.04243273286580015,0.04226362632279358,0.0433557153240684,0.040337430374334966,0.03700577806067868,0.03527227275125095,0.03460261340407707,0.03475932357901699,0.03353191848660976,0.03401588129747474,0.03422867344091726,0.03462719859684461,0.03397997665327879,0.03292375899230756,0.03350702850605657,0.033385967645748214,0.0315324368176146
00,Age of Business,Ages 0 to 1,0.0410450963369724,0.044259969812742814,0.04583823009328108,0.04243273286580015,0.04226362632279358,0.0433557153240684,0.040337430374334966,0.03700577806067868,0.03527227275125095,0.03460261340407707,0.03475932357901699,0.03353191848660976,0.03401588129747474,0.03422867344091726,0.03462719859684461,0.03397997665327879,0.03292375899230756,0.03350702850605657,0.033385967645748214,0.0315324368176146
00,Age of Business,Ages 11+,0.7536256439064765,0.7566516153451739,0.7620012635460537,0.7646763793469177,0.7685722842246163,0.7695343711011725,0.7781293147515358,0.7863854275401304,0.7943351853536907,0.7986662720746723,0.8023493788335672,0.8037956706780011,0.8085927857145158,0.8090100473440099,0.8101193248982518,0.812154077487257,0.8146152266035662,0.8134525428057388,0.8120847657784818,0.8164224489158208
00,Age of Business,Ages 2 to 3,0.05005513202192441,0.04533946063965563,0.042637742183019606,0.04623735696910261,0.04687845086150899,0.044278325161223694,0.04352262877230426,0.04311395116811115,0.039931369553751754,0.03766176392274008,0.0362883290395532,0.03633994053092549,0.03677955651102261,0.03640129510490919,0.0366616560095903,0.036876760643152706,0.037590029557171285,0.03706822249432864,0.03764294481173614,0.0370392900259044
00,Age of Business,Ages 4 to 5,0.04931676917095328,0.047969669634037426,0.044254159920239254,0.041724138020442385,0.04024103003119175,0.042827201100949966,0.043001297420312896,0.03911507206320744,0.039337223150122044,0.03956902238919151,0.03730648227235308,0.03550644811895419,0.03411868995249951,0.034777343936735906,0.03512749714135355,0.03476311037693439,0.03485052412208252,0.0351256242739808,0.036351418472858166,0.0354708204886334
00,Age of Business,Ages 6 to 10,0.1059573585636735,0.10577928456839025,0.10526860425740636,0.10492939279773723,0.10204460855988934,0.10000438731258549,0.09500932868151211,0.09437977116787236,0.0911239491911845,0.08950032820931905,0.0892964862755096,0.09082602218550946,0.08649308652448742,0.08558264017342768,0.08346432335395979,0.08222607483937708,0.08002046072487243,0.08084658191989523,0.08053490329117576,0.0795350037520268
01,Age of Business,,,0.04335225071569086,0.04162997439023712,0.039750900901945364,0.0404414591972809,0.0431507141128133,0.039541879564211097,0.03436613715778234,0.030734334998337044,0.03002028327296851,0.030028972362711116,0.030256463306688994,0.02985767155979922,0.031331077333470354,0.02944633321426029,0.028623874745628303,0.02796403748613911,0.029508874088850057,0.031020894173594046,0.029370422484511816
01,Age of Business,Ages 0 to 1,,0.04335225071569086,0.04162997439023712,0.039750900901945364,0.0404414591972809,0.0431507141128133,0.039541879564211097,0.03436613715778234,0.030734334998337044,0.03002028327296851,0.030028972362711116,0.030256463306688994,0.02985767155979922,0.031331077333470354,0.02944633321426029,0.028623874745628303,0.02796403748613911,0.029508874088850057,0.031020894173594046,0.029370422484511816
01,Age of Business,Ages 11+,,0.7670180972937074,0.7714523672056887,0.7728912236466099,0.773671863445293,0.7728860468472477,0.7806405323575165,0.7882520499909161,0.7969807523044756,0.8044282836471092,0.8142297698150359,0.8207547306585632,0.8255209616911745,0.8272832312463048,0.8289373449411046,0.829581272937665,0.836773064059956,0.8362178801181204,0.8327925224426103,0.8379209996516043
01,Age of Business,Ages 2 to 3,,0.04718193054570275,0.04814209181270993,0.044311887798248316,0.04199703989255439,0.04409864901821538,0.04190135145402711,0.03952009858723653,0.0372172581061289,0.03514445119976166,0.03134634536707277,0.030620023908181804,0.0319444251359145,0.03224706283101793,0.03276432419300804,0.03263819472160894,0.03083759979125635,0.03070995449777145,0.031286708629085676,0.0324701485245889
01,Age of Business,Ages 4 to 5,,0.04765939320148186,0.042394426064845385,0.043690390500705716,0.04455581932492633,0.04057951605336648,0.03867935643787859,0.038996965347638225,0.03787731954970735,0.035011076988098515,0.03459120854488696,0.03325151016660593,0.029735838246476545,0.02864489602687445,0.03185748067131073,0.03234542862459822,0.02997821667196895,0.030359208967879237,0.03082189983956998,0.02993262848540402
01,Age of Business,Ages 6 to 10,,0.09478832824341707,0.09638114052651893,0.09935559715249068,0.09933381813994534,0.09928507396835716,0.09923688018636666,0.09886474891642681,0.09719033504135113,0.09539590489206215,0.08980370391029326,0.08511727195996006,0.08294110336663528,0.08049373256233246,0.07699451698031638,0.07681122897049951,0.07444708199067963,0.07320408232737893,0.07407797491513998,0.07030580085389104
02,Age of Business,,0.04006021357150721,0.045023871511126565,0.05091981852174361,0.04497316438259955,0.03869183278880828,0.036285547507488594,0.03464322066579981,0.03260872435058986,0.030023504391890454,0.029840328207206123,0.02838815720025726,0.028715973367379934,0.025822967527897457,0.026091333484667543,0.026516681248764037,,,,,
02,Age of Business,Ages 0 to 1,0.04006021357150721,0.045023871511126565,0.05091981852174361,0.04497316438259955,0.03869183278880828,0.036285547507488594,0.03464322066579981,0.03260872435058986,0.030023504391890454,0.029840328207206123,0.02838815720025726,0.028715973367379934,0.025822967527897457,0.026091333484667543,0.026516681248764037,,,,,
