time,fips,region,ownercode,firmage,Emp,EmpEnd,EarnBeg,EmpS,EmpTotal,FrmJbC
1993,20,Kansas,A05,3,,163355.0,,,229087.0,
1993,20,Kansas,A05,4,,391269.0,,,519278.0,
1993,20,Kansas,A05,5,,2686759.0,,,3306708.0,
1993,24,Maryland,A05,1,274948.0,303617.0,6212.0,208493.0,431908.0,28669.0
1993,24,Maryland,A05,2,319375.0,322169.0,6319.0,252577.0,434165.0,2796.0
1993,24,Maryland,A05,3,344223.0,341715.0,6901.0,278726.0,449056.0,-2507.0
1993,24,Maryland,A05,4,839809.0,839637.0,7464.0,693652.0,1074597.0,-172.0
1993,24,Maryland,A05,5,4869900.0,4878076.0,8968.0,4250427.0,5818979.0,8174.0
1993,30,Montana,A05,1,,67466.0,,,99251.0,
1993,30,Montana,A05,2,,52670.0,,,72881.0,
1993,30,Montana,A05,3,,70919.0,,,91040.0,
1993,30,Montana,A05,4,,145975.0,,,191571.0,
1993,30,Montana,A05,5,,659892.0,,,799227.0,
1993,37,North Carolina,A05,1,449832.0,500215.0,4928.0,325883.0,762198.0,50384.0
1993,37,North Carolina,A05,2,538573.0,539375.0,5210.0,412057.0,771443.0,802.0
1993,37,North Carolina,A05,3,525570.0,529014.0,5688.0,421284.0,712017.0,3444.0
1993,37,North Carolina,A05,4,1205103.0,1212027.0,6250.0,985577.0,1588517.0,6923.0
1993,37,North Carolina,A05,5,8020588.0,8061706.0,7721.0,7041113.0,9661039.0,41118.0
1993,41,Oregon,A05,1,208402.0,232950.0,5172.0,155384.0,342551.0,24548.0
1993,41,Oregon,A05,2,239937.0,243395.0,5349.0,183076.0,352321.0,3459.0
1993,41,Oregon,A05,3,233292.0,236227.0,5693.0,184092.0,327328.0,2935.0
1993,41,Oregon,A05,4,593020.0,598376.0,6393.0,483755.0,794896.0,5356.0
1993,41,Oregon,A05,5,3028801.0,3045175.0,8186.0,2652643.0,3657449.0,16375.0
1993,53,Washington,A05,1,395727.0,435704.0,5906.0,289327.0,656843.0,39977.0
