time,fips,region,geo_level,ownercode,firmage,Emp,EmpEnd,EarnBeg,EmpS,EmpTotal,FrmJbC
2004,00,United States,us,A05,5,331745893.0,331740347.0,13055.0,291821738.0,392696811,-5528.0
2005,00,United States,us,A05,1,17711275.0,19563140.0,8629.0,13684712.0,26972306,1851901.0
2005,00,United States,us,A05,2,20819295.0,20922226.0,9941.0,16817820.0,27497811,102931.0
2005,00,United States,us,A05,3,17703448.0,17762527.0,10550.0,14466939.0,23108142,59033.0
2005,00,United States,us,A05,4,44996556.0,45110733.0,11396.0,37501195.0,57301804,114230.0
2005,00,United States,us,A05,5,339943090.0,340149817.0,13500.0,298297984.0,403591121,206722.0
2006,00,United States,us,A05,1,18531460.0,20297804.0,9228.0,14357069.0,27950207,1766408.0
2006,00,United States,us,A05,2,20055186.0,20067154.0,9779.0,16010780.0,26696790,11989.0
2006,00,United States,us,A05,3,19248946.0,19244181.0,11144.0,15824847.0,24804626,-4824.0
2006,00,United States,us,A05,4,45133012.0,45141873.0,11862.0,37600935.0,57297461,8845.0
2006,00,United States,us,A05,5,346641531.0,346587214.0,14172.0,303617678.0,412011398,-54324.0
2007,00,United States,us,A05,1,17590987.0,19214473.0,9603.0,13629443.0,26551690,1623487.0
2007,00,United States,us,A05,2,19749770.0,19683467.0,10035.0,15819871.0,26020577,-66309.0
2007,00,United States,us,A05,3,19716762.0,19636941.0,11315.0,16170277.0,25322206,-79833.0
2007,00,United States,us,A05,4,43398567.0,43270752.0,12340.0,36290401.0,54593738,-127812.0
2007,00,United States,us,A05,5,354666888.0,354104353.0,14737.0,310997121.0,420245103,-562542.0
2008,00,United States,us,A05,1,16019763.0,17252790.0,9658.0,12433427.0,23549073,1233011.0
2008,00,United States,us,A05,2,19498150.0,19175228.0,10494.0,15727142.0,25030597,-322909.0
2008,00,United States,us,A05,3,17974680.0,17671135.0,10940.0,14712810.0,22696768,-303579.0
2008,00,United States,us,A05,4,43016271.0,42392035.0,12639.0,36168185.0,52926962,-624211.0
2008,00,United States,us,A05,5,357048367.0,353284384.0,15001.0,314510122.0,415413381,-3764013.0
2009,00,United States,us,A05,1,14558851.0,15678504.0,9772.0,11611627.0,20879966,1119613.0
2009,00,United States,us,A05,2,17193759.0,16934503.0,10314.0,14212552.0,21449071,-259241.0
2009,00,United States,us,A05,3,16884941.0,16638491.0,10731.0,14190707.0,20703808,-246451.0
2009,00,United States,us,A05,4,39277211.0,38686120.0,12344.0,33690264.0,47034956,-591109.0
2009,00,United States,us,A05,5,342579647.0,337666869.0,14930.0,307113033.0,387716302,-4912784.0
2010,00,United States,us,A05,1,14004997.0,15393764.0,9866.0,11239694.0,20340217,1388805.0
2010,00,United States,us,A05,2,15958301.0,15985210.0,10458.0,13221692.0,20235120,26859.0
2010,00,United States,us,A05,3,16610938.0,16613706.0,11080.0,14031410.0,20540325,2766.0
2010,00,United States,us,A05,4,38280140.0,38307417.0,12393.0,32915979.0,46481486,27298.0
2010,00,United States,us,A05,5,339139971.0,339213787.0,15513.0,305549849.0,387659521,73800.0
2011,00,United States,us,A05,1,14269605.0,15788612.0,9785.0,11397237.0,20977013,1519046.0
2011,00,United States,us,A05,2,15668518.0,15768231.0,10723.0,12953450.0,19999775,99689.0
2011,00,United States,us,A05,3,16075833.0,16150932.0,11343.0,13545819.0,20029641,75089.0
2011,00,United States,us,A05,4,38522462.0,38649558.0,12413.0,33052653.0,46959712,127094.0
2011,00,United States,us,A05,5,346692011.0,347157354.0,16046.0,311505662.0,397699412,465330.0
2012,00,United States,us,A05,1,14051196.0,15599523.0,9961.0,11166891.0,20795808,1548277.0
2012,00,United States,us,A05,2,16069160.0,16168150.0,10944.0,13243721.0,20573459,98988.0
2012,00,United States,us,A05,3,15597352.0,15659624.0,11476.0,13063935.0,19565361,62268.0
2012,00,United States,us,A05,4,40089418.0,40226467.0,12938.0,34264026.0,49046320,137065.0
2012,00,United States,us,A05,5,355171849.0,355637376.0,16500.0,318360718.0,408441642,465519.0
2013,00,United States,us,A05,1,14589254.0,16185591.0,10261.0,11577794.0,21465828,1596307.0
2013,00,United States,us,A05,2,16478244.0,16575640.0,10860.0,13513690.0,21202703,97414.0
2013,00,United States,us,A05,3,15337992.0,15425284.0,11763.0,12842971.0,19255461,87327.0
2013,00,United States,us,A05,4,38939345.0,39102275.0,12653.0,33157790.0,47844400,162876.0
2013,00,United States,us,A05,5,364723879.0,365385923.0,16686.0,325928620.0,421045720,662014.0
2014,00,United States,us,A05,1,14980549.0,16675806.0,10188.0,11874409.0,22132835,1695252.0
2014,00,United States,us,A05,2,16702217.0,16847404.0,11454.0,13677513.0,21567527,145173.0
2014,00,United States,us,A05,3,16069239.0,16160827.0,12096.0,13382588.0,20308020,91657.0
2014,00,United States,us,A05,4,39324758.0,39488479.0,13089.0,33394380.0,48427409,163718.0
2014,00,United States,us,A05,5,373483563.0,374320541.0,17182.0,332500423.0,433221866,837005.0
2015,00,United States,us,A05,1,15579712.0,17335007.0,10194.0,12304924.0,23081456,1755274.0
2015,00,United States,us,A05,2,17259068.0,17386827.0,11677.0,14060366.0,22477060,127751.0
2015,00,United States,us,A05,3,16520305.0,16580049.0,12397.0,13711394.0,20902862,59805.0
2015,00,United States,us,A05,4,39202922.0,39345035.0,13446.0,33148333.0,48532726,142122.0
2015,00,United States,us,A05,5,383202842.0,383498501.0,17708.0,339823877.0,446137499,295649.0
2016,00,United States,us,A05,1,15601149.0,17318896.0,10259.0,12321706.0,23048488,1717799.0
2016,00,United States,us,A05,2,17827719.0,17929108.0,11392.0,14487462.0,23260763,101388.0
2016,00,United States,us,A05,3,16722630.0,16763428.0,12827.0,13884528.0,21188718,40795.0
2016,00,United States,us,A05,4,39300994.0,39334330.0,13578.0,33210657.0,48768172,33379.0
2016,00,United States,us,A05,5,391586567.0,391452210.0,17929.0,347254375.0,455992825,-134368.0
2017,00,United States,us,A05,1,15288369.0,17006260.0,10647.0,12084576.0,22641414,1717888.0
2017,00,United States,us,A05,2,18562252.0,18676677.0,11419.0,15062690.0,24152590,114444.0
2017,00,United States,us,A05,3,17005756.0,17057912.0,13106.0,14079246.0,21570760,52164.0
2017,00,United States,us,A05,4,38812891.0,38887809.0,13942.0,32769669.0,48109153,74932.0
2017,00,United States,us,A05,5,398565399.0,398747782.0,18528.0,353170645.0,464922806,182388.0
2018,00,United States,us,A05,1,15729370.0,17527162.0,11334.0,12473211.0,23225895,1797808.0
2018,00,United States,us,A05,2,18685079.0,18813831.0,11871.0,15192461.0,24296279,128733.0
2018,00,United States,us,A05,3,17561351.0,17644763.0,13098.0,14502565.0,22387443,83431.0
2018,00,United States,us,A05,4,39943379.0,40028821.0,14706.0,33662682.0,49631546,85467.0
2018,00,United States,us,A05,5,404767323.0,404776785.0,19162.0,358040538.0,472775756,9466.0
2019,00,United States,us,A05,1,16077930.0,17797769.0,12055.0,12819124.0,23412805,1719859.0
2019,00,United States,us,A05,2,18845878.0,18976086.0,12878.0,15410201.0,24349586,130203.0
2019,00,United States,us,A05,3,18565890.0,18630153.0,13095.0,15338743.0,23591053,64272.0
2019,00,United States,us,A05,4,40582268.0,40609674.0,15354.0,34184286.0,50359401,27410.0
2019,00,United States,us,A05,5,409988123.0,409625684.0,19794.0,362976230.0,477957242,-362535.0
2020,00,United States,us,A05,1,14335147.0,15653600.0,13245.0,11244833.0,21020858,1318483.0
2020,00,United States,us,A05,2,17543367.0,17311469.0,14193.0,14147793.0,22492254,-231893.0
2020,00,United States,us,A05,3,17294018.0,16948127.0,14059.0,14036006.0,21897819,-345904.0
2020,00,United States,us,A05,4,38330154.0,37439816.0,16488.0,31724243.0,47255441,-890309.0
2020,00,United States,us,A05,5,391245863.0,384264638.0,21075.0,343427280.0,452576848,-6981204.0
2021,00,United States,us,A05,1,14540698.0,,13807.0,,22079999,
2021,00,United States,us,A05,2,19172935.0,,15346.0,,25102201,
2021,00,United States,us,A05,3,18791015.0,,16142.0,,24339567,
2021,00,United States,us,A05,4,40663089.0,,18349.0,,51274329,
2021,00,United States,us,A05,5,394564471.0,,22635.0,,467914710,
